,codigo_ibge,anomes_s,tx_acomp_freq_escol_f,tx_acomp_agenda_saude_f,tx_atual_cad_f,igdm_f,igd_pbf_fator_redutor_conforme_saldo_f
281,150795,202507,0.6486,0.786,0.8495,0.7834,1.0
282,150796,202507,0.6476,0.8549,0.9101,0.0,1.0
283,150797,202507,0.9282,0.7101,0.9532,0.8862,0.8
284,150800,202507,0.992,0.9857,0.8788,0.9338,1.0
285,150803,202507,0.8831,0.899,0.929,0.91,1.0
286,150805,202507,0.8694,0.8542,0.8789,0.8704,1.0
287,150808,202507,0.8935,0.8762,0.8882,0.8865,1.0
288,150810,202507,0.8952,0.7953,0.8476,0.8464,1.0
289,150812,202507,0.8788,0.8731,0.8916,0.8838,1.0
290,150815,202507,0.9574,0.6499,0.8689,0.8363,1.0
291,150820,202507,0.6667,0.8404,0.9215,0.8375,1.0
292,150830,202507,0.9497,0.8904,0.8928,0.9064,1.0
293,150835,202507,0.8925,0.7942,0.9002,0.8718,1.0
294,150840,202507,0.839,0.8428,0.8269,0.8339,1.0
295,160005,202507,0.6633,0.8873,0.9269,0.8511,1.0
296,160010,202507,0.7333,0.8284,0.928,0.8544,1.0
297,160015,202507,0.8014,0.7879,0.917,0.8558,1.0
298,160020,202507,0.7444,0.8915,0.8892,0.8536,1.0
299,160021,202507,0.355,0.901,0.9117,0.7699,1.0
300,160023,202507,0.8304,0.841,0.9004,0.8681,1.0
301,160025,202507,0.7606,0.8474,0.936,0.87,1.0
302,160027,202507,0.9012,0.8335,0.9178,0.8926,1.0
303,160030,202507,0.6261,0.6765,0.8422,0.7468,0.8
304,160040,202507,0.6188,0.9998,0.8486,0.829,1.0
305,160050,202507,0.7966,0.7321,0.9032,0.8338,0.8
306,160053,202507,0.4625,0.7426,0.9345,0.7685,1.0
307,160055,202507,0.7938,0.7999,0.8334,0.8151,1.0
308,160060,202507,0.7527,0.7582,0.8701,0.8128,0.8
309,160070,202507,0.8493,0.8836,0.9409,0.9037,1.0
310,160080,202507,0.9168,0.9086,0.8673,0.89,1.0
311,170025,202507,0.925,0.8705,0.9237,0.9107,1.0
312,170030,202507,0.811,0.8624,0.9037,0.8702,1.0
313,170035,202507,0.6863,0.8533,0.8608,0.8153,0.1
314,170040,202507,0.9111,0.8194,0.9625,0.9139,1.0
315,170070,202507,0.9345,0.9583,0.9173,0.9319,1.0
316,170100,202507,0.9448,0.8893,0.9342,0.9256,1.0
317,170105,202507,0.8642,0.9291,0.9062,0.9014,1.0
318,170110,202507,0.9366,0.9008,0.9063,0.9125,1.0
319,170130,202507,0.9252,0.8612,0.8942,0.8937,1.0
320,170190,202507,0.9154,0.8941,0.8906,0.8977,1.0
321,170200,202507,0.9028,0.8574,0.8097,0.8449,1.0
322,170210,202507,0.9895,0.6907,0.8771,0.8586,1.0
323,170215,202507,0.8878,0.8336,0.9151,0.8879,1.0
324,170220,202507,0.8835,0.8464,0.9041,0.8845,0.8
325,170230,202507,0.9438,0.8748,0.9027,0.906,1.0
326,170240,202507,0.9257,0.7869,0.9013,0.8788,1.0
327,170255,202507,0.8828,0.8905,0.8543,0.8705,1.0
328,170270,202507,0.8905,0.9253,0.878,0.893,1.0
329,170290,202507,0.862,0.9147,0.8992,0.8938,1.0
330,170300,202507,0.8885,0.9085,0.8659,0.8822,1.0
331,170305,202507,0.8219,0.9354,0.8899,0.8843,0.1
332,170307,202507,0.8865,0.8981,0.9088,0.9006,1.0
333,170310,202507,0.8028,0.8832,0.8555,0.8493,1.0
334,170320,202507,0.8875,0.8501,0.8484,0.8586,1.0
335,170330,202507,0.8529,0.7802,0.9501,0.8833,1.0
336,170360,202507,0.9589,0.8764,0.8897,0.9037,1.0
337,170370,202507,0.8815,0.8698,0.9208,0.8982,0.1
338,170380,202507,0.8905,0.9126,0.9006,0.9011,1.0
339,170382,202507,0.8328,0.8469,0.9328,0.8863,1.0
340,170384,202507,0.93,0.8429,0.7936,0.84,1.0
341,170386,202507,0.8707,0.983,0.8968,0.9118,1.0
342,170388,202507,0.864,0.8977,0.9029,0.8919,1.0
343,170389,202507,0.767,0.9233,0.8436,0.8444,1.0
344,170390,202507,0.6907,0.7188,0.9279,0.8163,1.0
345,170410,202507,0.9409,0.9846,0.9275,0.9451,1.0
346,170460,202507,0.8416,0.8966,0.875,0.8721,1.0
347,170510,202507,0.9687,0.8292,0.9491,0.924,1.0
348,170550,202507,0.9364,0.836,0.9084,0.8973,0.6
349,170555,202507,0.9431,0.9595,0.9009,0.9261,1.0
350,170560,202507,0.8559,0.9264,0.948,0.9196,1.0
351,170600,202507,0.7244,0.9993,0.9271,0.8945,1.0
352,170610,202507,0.7337,0.8123,0.9019,0.8375,1.0
353,170625,202507,0.7377,0.8519,0.9414,0.8681,0.1
354,170650,202507,0.6722,0.8281,0.908,0.8291,1.0
355,170700,202507,0.9106,0.8403,0.8697,0.8726,1.0
356,170710,202507,0.8562,0.8876,0.8754,0.8737,1.0
357,170720,202507,0.969,0.8437,0.8989,0.9026,1.0
358,170730,202507,0.8642,0.9027,0.9179,0.9007,1.0
359,170740,202507,0.9038,0.8611,0.9533,0.9179,1.0
360,170755,202507,0.9534,0.9293,0.8606,0.901,1.0
361,170765,202507,0.89,0.9408,0.85,0.8827,1.0
362,170770,202507,0.8084,0.8902,0.923,0.8862,1.0
363,170820,202507,0.6316,0.8343,0.9051,0.819,1.0
364,170825,202507,0.9259,0.8054,0.9366,0.9011,1.0
365,170830,202507,0.7923,0.8828,0.8881,0.8628,0.1
366,170900,202507,0.8908,0.868,0.8963,0.8879,1.0
367,170930,202507,0.7879,0.7264,0.8793,0.8182,0.6
368,170950,202507,0.868,0.8535,0.8151,0.8379,0.8
369,170980,202507,0.7143,0.8852,0.8077,0.8037,1.0
370,171050,202507,0.8857,0.7651,0.9457,0.8856,1.0
371,171070,202507,0.9151,0.877,0.9206,0.9083,1.0
372,171090,202507,0.9784,0.979,0.8336,0.9062,1.0
373,171110,202507,0.8795,0.9645,0.9377,0.9299,1.0
374,171150,202507,0.8991,0.8837,0.7775,0.8345,1.0
375,171180,202507,0.7482,0.8194,0.9218,0.8528,1.0
376,171190,202507,0.8272,0.7963,0.8846,0.8482,1.0
377,171195,202507,0.9296,0.9622,0.9314,0.9387,1.0
378,171200,202507,0.7409,0.8414,0.8747,0.8329,1.0
379,171215,202507,0.9814,0.953,0.8435,0.9054,1.0
380,171240,202507,0.7975,0.8791,0.8662,0.8523,1.0
381,171245,202507,0.9141,0.818,0.9276,0.8968,1.0
382,171250,202507,0.6107,0.8435,0.9136,0.8204,1.0
383,171270,202507,0.8308,0.9765,0.9492,0.9264,1.0
384,171280,202507,0.9396,0.9331,0.8832,0.9098,1.0
385,171320,202507,0.8075,0.9146,0.8429,0.852,1.0
386,171330,202507,0.8813,0.872,0.8393,0.858,1.0
387,171360,202507,0.6221,0.9017,0.8979,0.8299,1.0
388,171370,202507,0.9083,0.8371,0.8941,0.8834,1.0
389,171380,202507,0.9503,0.8415,0.9025,0.8992,1.0
390,171395,202507,0.8276,0.8637,0.9019,0.8738,1.0
391,171420,202507,0.9352,0.9345,0.9149,0.9249,1.0
392,171430,202507,0.9458,0.9678,0.9099,0.9334,1.0
393,171488,202507,0.9074,0.8704,0.8942,0.8916,0.4
394,171500,202507,0.8663,0.9474,0.9449,0.9259,1.0
395,171510,202507,0.8481,0.8413,0.8947,0.8697,1.0
396,171515,202507,0.8075,0.9466,0.9506,0.9138,1.0
397,171525,202507,0.8162,0.7609,0.9235,0.856,1.0
398,171550,202507,0.8218,0.8379,0.8578,0.8438,1.0
399,171570,202507,0.8828,0.8883,0.9436,0.9146,1.0
400,171575,202507,0.8843,0.894,0.977,0.9331,1.0
401,171610,202507,0.9619,0.7997,0.7814,0.8311,0.4
402,171620,202507,0.9095,0.7191,0.9155,0.8649,1.0
403,171630,202507,0.9063,0.8392,0.884,0.8784,1.0
404,171650,202507,0.814,0.8424,0.877,0.8526,1.0
405,171660,202507,0.6836,0.8316,0.9056,0.8316,1.0
406,171665,202507,0.8807,0.6986,0.8816,0.8356,1.0
407,171670,202507,0.8593,0.7621,0.9114,0.8611,1.0
408,171700,202507,0.9752,0.9185,0.9288,0.9378,1.0
409,171720,202507,0.9562,0.7527,0.8889,0.8717,1.0
410,171750,202507,0.0252,0.9188,0.867,0.6695,1.0
411,171780,202507,0.9778,0.8959,0.8494,0.8931,1.0
412,171790,202507,0.6265,0.8954,0.9226,0.8418,1.0
413,171800,202507,0.8437,0.919,0.9072,0.8943,1.0
414,171820,202507,0.9279,0.8561,0.8446,0.8683,0.6
415,171830,202507,0.8864,0.8581,0.8845,0.8784,1.0
416,171840,202507,0.9628,0.8027,0.8898,0.8863,1.0
417,171845,202507,0.6178,0.8895,0.8701,0.8119,1.0
418,171850,202507,0.884,0.8755,0.9597,0.9197,1.0
419,171855,202507,0.9266,0.9562,0.8631,0.9023,1.0
420,171865,202507,0.8923,0.8556,0.9072,0.8906,1.0
421,171870,202507,0.8969,0.9497,0.8688,0.8961,1.0
422,171875,202507,0.6667,0.8728,0.9474,0.8586,1.0
423,171880,202507,0.661,0.8296,0.9013,0.8233,1.0
424,171884,202507,0.9429,0.7351,0.9039,0.8715,1.0
425,171886,202507,0.9329,1.0,0.8134,0.8899,1.0
426,171888,202507,0.9853,0.7475,0.9917,0.9291,1.0
427,171889,202507,0.7395,0.8898,0.9185,0.8666,1.0
428,171890,202507,0.8908,0.8925,0.8705,0.8811,1.0
429,171900,202507,0.9485,0.9802,0.8491,0.9067,1.0
430,172000,202507,0.9407,0.8388,0.8639,0.8768,1.0
